radio,mcc,mnc,Company,lac,cid,changeable_0,long,lat,range,sample,changeable_1,created,updated,avgsignal
LTE,405,857,Jio,17,2236465,0,73.16655,22.293221,1000,1,1,1506513292,1506513292,0
LTE,405,857,Jio,17,1136660,0,73.166623,22.293141,1000,5,1,1506498609,1506592048,0
LTE,405,857,Jio,17,1136657,0,73.166618,22.293157,1000,11,1,1506606334,1506613069,0
LTE,405,857,Jio,17,1136676,0,73.16655,22.293221,1000,1,1,1506506981,1506506981,0
LTE,405,857,Jio,35,3173938,0,72.554484,23.017103,1000,5,1,1506340455,1506341707,0
LTE,405,857,Jio,92,533040,0,73.293694,23.458441,1000,2,1,1506520437,1506520575,0
UMTS,405,857,Jio,16,1434897,0,73.155857,22.272823,1000,17,1,1509443793,1509444196,0
GSM,405,857,Jio,6314,64033,-1,72.866557,22.199197,1000,3,1,1511920026,1511920146,0
GSM,405,857,Jio,126,56595,-1,72.533882,23.046124,1000,1,1,1513320691,1513320691,0
UMTS,405,857,Jio,53,856357,0,72.054317,21.557541,1000,57,1,1518583564,1518583731,0
UMTS,405,857,Jio,52,748068,0,72.015722,21.570521,1000,23,1,1518938266,1518938335,0
UMTS,405,857,Jio,52,1021476,0,72.017937,21.571022,1000,1,1,1518938346,1518938346,0
UMTS,405,857,Jio,52,747813,0,72.018661,21.571022,1000,1,1,1518938355,1518938355,0
UMTS,405,857,Jio,52,747812,0,72.019895,21.571092,1000,10,1,1518938356,1518938396,0
UMTS,405,857,Jio,52,3329041,0,72.020339,21.571203,1000,8,1,1518938369,1518938408,0
UMTS,405,857,Jio,52,747796,0,72.022543,21.571251,1000,4,1,1518938377,1518938477,0
UMTS,405,857,Jio,52,1494820,0,72.021126,21.571127,1000,1,1,1518938393,1518938393,0
UMTS,405,857,Jio,52,1727024,0,72.023028,21.570859,1000,5,1,1518938409,1518938496,0
UMTS,405,857,Jio,52,1726001,0,72.02475,21.571306,1000,1,1,1518938460,1518938460,0
UMTS,405,857,Jio,53,751139,0,72.02256,21.571184,1000,1,1,1518938459,1518938459,0
UMTS,405,857,Jio,53,604965,0,72.054062,21.561147,1000,3,1,1518955469,1518955492,0
UMTS,405,857,Jio,53,751907,0,72.054033,21.561153,1000,8,1,1518955478,1518955526,0
UMTS,405,857,Jio,53,664355,0,72.05358,21.55694,1000,14,1,1518955487,1519800482,0
UMTS,405,857,Jio,53,750896,0,72.061424,21.550762,1358,74,1,1519007546,1519880435,0
UMTS,405,857,Jio,53,604978,0,72.054385,21.558562,1000,93,1,1519295983,1519825609,0
